id,cfbfastr,argh,donchess,fei,statfox,fpi,howell,laz,pirate,sp,tpr,tr,vs
1,Air Force,Air Force,Air Force Falcons,Air Force,AIR FORCE,Air Force Falcons,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force
2,Akron,Akron,Akron Zips,Akron,AKRON,Akron Zips,Akron,Akron,Akron,Akron,Akron,Akron,Akron
3,Alabama,Alabama,Alabama Crimson Tide,Alabama,ALABAMA,Alabama Crimson Tide,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama
4,Appalachian State,Appalachian St.,Appalachian State Mountaineers,Appalachian State,APPALACHIAN ST,Appalachian State Mountaineers,Appalachian State,Appalachian St,Appalachian St.,App. St.,Appalachian State,App State,Appalachian St
5,Arizona,Arizona,Arizona Wildcats,Arizona,ARIZONA,Arizona Wildcats,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
6,Arizona State,Arizona St.,Arizona State Sun Devils,Arizona State,ARIZONA ST,Arizona State Sun Devils,Arizona State,Arizona St,Arizona St.,Arizona St.,Arizona State,Arizona St,Arizona St
7,Arkansas,Arkansas,Arkansas Razorbacks,Arkansas,ARKANSAS,Arkansas Razorbacks,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
8,Arkansas State,Arkansas St.,Arkansas State Red Wolves,Arkansas State,ARKANSAS ST,Arkansas State Red Wolves,Arkansas State,Arkansas St,Arkansas St.,Arkansas St.,Arkansas State,Arkansas St,Arkansas St
9,Army,Army,Army Black Knights,Army,ARMY,Army Black Knights,Army,Army,Army,Army,Army,Army,Army
10,Auburn,Auburn,Auburn Tigers,Auburn,AUBURN,Auburn Tigers,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn
11,Ball State,Ball St.,Ball State Cardinals,Ball State,BALL ST,Ball State Cardinals,Ball State,Ball St,Ball St.,Ball St.,Ball State,Ball State,Ball St
12,Baylor,Baylor,Baylor Bears,Baylor,BAYLOR,Baylor Bears,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor
13,Boise State,Boise State,Boise State Broncos,Boise State,BOISE ST,Boise State Broncos,Boise State,Boise St,Boise St.,Boise St.,Boise State,Boise State,Boise St
14,Boston College,Boston College,Boston College Eagles,Boston College,BOSTON COLLEGE,Boston College Eagles,Boston College,Boston College,Boston College,Boston Coll.,Boston College,Boston Col,Boston College
15,Bowling Green,Bowling Green,Bowling Green Falcons,Bowling Green,BOWLING GREEN,Bowling Green Falcons,Bowling Green,Bowling Green,Bowling Green,BGSU,Bowling Green,Bowling Grn,Bowling Green
16,Buffalo,Buffalo,Buffalo Bulls,Buffalo,BUFFALO,Buffalo Bulls,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo
17,BYU,Brigham Young,BYU Cougars,BYU,BYU,BYU Cougars,Brigham Young,Brigham Young,BYU,BYU,Brigham Young,BYU,Brigham Young
18,California,California,California Golden Bears,California,CALIFORNIA,California Golden Bears,California,California,California,California,California,California,California
19,Central Michigan,Central Michigan,Central Michigan Chippewas,Central Michigan,C MICHIGAN,Central Michigan Chippewas,Central Michigan,Central Michigan,Central Michigan,CMU,Central Michigan,Central Mich,Central Michigan
20,Charlotte,Charlotte,Charlotte 49ers,Charlotte,CHARLOTTE,Charlotte 49ers,Charlotte,UNC-Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,UNC-Charlotte
21,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati,CINCINNATI,Cincinnati Bearcats,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
22,Clemson,Clemson,Clemson Tigers,Clemson,CLEMSON,Clemson Tigers,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson
23,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,Coastal Carolina,COASTAL CAROLINA,Coastal Carolina Chanticleers,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Caro.,Coastal Carolina,Coastal Car,Coastal Carolina
24,Colorado,Colorado,Colorado Buffaloes,Colorado,COLORADO,Colorado Buffaloes,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado
25,Colorado State,Colorado St.,Colorado State Rams,Colorado State,COLORADO ST,Colorado State Rams,Colorado State,Colorado St,Colorado St.,Colorado St.,Colorado State,Colorado St,Colorado St
26,Connecticut,Connecticut,Connecticut Huskies,Connecticut,CONNECTICUT,UConn Huskies,Connecticut,Connecticut,Connecticut,UConn,Connecticut,Connecticut,Connecticut
27,Duke,Duke,Duke Blue Devils,Duke,DUKE,Duke Blue Devils,Duke,Duke,Duke,Duke,Duke,Duke,Duke
28,East Carolina,East Carolina,East Carolina Pirates,East Carolina,E CAROLINA,East Carolina Pirates,East Carolina,East Carolina,East Carolina,ECU,East Carolina,E Carolina,East Carolina
29,Eastern Michigan,Eastern Michigan,Eastern Michigan Eagles,Eastern Michigan,E MICHIGAN,Eastern Michigan Eagles,Eastern Michigan,Eastern Michigan,Eastern Michigan,EMU,Eastern Michigan,E Michigan,Eastern Michigan
30,Florida,Florida,Florida Gators,Florida,FLORIDA,Florida Gators,Florida,Florida,Florida,Florida,Florida,Florida,Florida
31,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,Florida Atlantic,FLA ATLANTIC,Florida Atlantic Owls,Florida Atlantic,Florida Atlantic,Florida Atlantic,FAU,Florida Atlantic,Fla Atlantic,Florida Atlantic
32,Florida International,Florida International,FIU Panthers,Florida International,FLA INTERNATIONAL,Florida International Panthers,Florida International,Florida International,Florida Int’l.,FIU,Florida International,Florida Intl,Florida Int'l
33,Florida State,Florida St.,Florida State Seminoles,Florida State,FLORIDA ST,Florida State Seminoles,Florida State,Florida St,Florida St.,Florida St.,Florida State,Florida St,Florida St
34,Fresno State,Fresno St.,Fresno State Bulldogs,Fresno State,FRESNO ST,Fresno State Bulldogs,Fresno State,Fresno St,Fresno St.,Fresno St.,Fresno State,Fresno St,Fresno St
35,Georgia,Georgia,Georgia Bulldogs,Georgia,GEORGIA,Georgia Bulldogs,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
36,Georgia Southern,Georgia Southern,Georgia Southern Eagles,Georgia Southern,GA SOUTHERN,Georgia Southern Eagles,Georgia Southern,Georgia Southern,Georgia Southern,Ga. Southern,Georgia Southern,GA Southern,Georgia Southern
37,Georgia State,Georgia St.,Georgia State Panthers,Georgia State,GEORGIA ST,Georgia State Panthers,Georgia State,Georgia State,Georgia St.,Georgia St.,Georgia State,Georgia State,Georgia St
38,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech,GEORGIA TECH,Georgia Tech Yellow Jackets,Georgia Tech,Georgia Tech,Georgia Tech,Ga. Tech,Georgia Tech,GA Tech,Georgia Tech
39,Hawai'i,Hawaii,Hawaii Rainbow Warriors,Hawaii,HAWAII,Hawai'i Rainbow Warriors,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawai`i
40,Houston,Houston,Houston Cougars,Houston,HOUSTON,Houston Cougars,Houston,Houston,Houston,Houston,Houston,Houston,Houston
41,Illinois,Illinois,Illinois Fighting Illini,Illinois,ILLINOIS,Illinois Fighting Illini,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
42,Indiana,Indiana,Indiana Hoosiers,Indiana,INDIANA,Indiana Hoosiers,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
43,Iowa,Iowa,Iowa Hawkeyes,Iowa,IOWA,Iowa Hawkeyes,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa
44,Iowa State,Iowa St.,Iowa State Cyclones,Iowa State,IOWA ST,Iowa State Cyclones,Iowa State,Iowa St,Iowa St.,Iowa St.,Iowa State,Iowa State,Iowa St
45,Kansas,Kansas,Kansas Jayhawks,Kansas,KANSAS,Kansas Jayhawks,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
46,Kansas State,Kansas St.,Kansas State Wildcats,Kansas State,KANSAS ST,Kansas State Wildcats,Kansas State,Kansas St,Kansas St.,Kansas St.,Kansas State,Kansas St,Kansas St
47,Kent State,Kent St.,Kent State Golden Flashes,Kent State,KENT ST,Kent State Golden Flashes,Kent State,Kent St,Kent St.,Kent St.,Kent State,Kent State,Kent St
48,Kentucky,Kentucky,Kentucky Wildcats,Kentucky,KENTUCKY,Kentucky Wildcats,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
49,Liberty,Liberty,Liberty Flames,Liberty,LIBERTY,Liberty Flames,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty
50,Louisiana,Louisiana,Louisiana Ragin' Cagins,Louisiana,LA LAFAYETTE,Louisiana Ragin' Cajuns,Louisiana,Louisiana-Lafayette,Louisiana,Louisiana,Louisiana,LA Lafayette,Louisiana-Lafayette
51,Louisiana Monroe,LA-Monroe,ULM Warhawks,UL Monroe,LA MONROE,UL Monroe Warhawks,Louisiana-Monroe,Louisiana-Monroe,UL-Monroe,ULM,Louisiana Monroe,LA Monroe,Louisiana-Monroe
52,Louisiana Tech,Louisiana Tech,Louisiana Tech Bulldogs,Louisiana Tech,LOUISIANA TECH,Louisiana Tech Bulldogs,Louisiana Tech,Louisiana Tech,Louisiana Tech,La. Tech,Louisiana Tech,LA Tech,Louisiana Tech
53,Louisville,Louisville,Louisville Cardinals,Louisville,LOUISVILLE,Louisville Cardinals,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville
54,LSU,Louisiana St.,LSU Tigers,LSU,LSU,LSU Tigers,Louisiana State,LSU,L S U,LSU,LSU,LSU,LSU
55,Marshall,Marshall,Marshall Thundering Herd,Marshall,MARSHALL,Marshall Thundering Herd,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall
56,Maryland,Maryland,Maryland Terrapins,Maryland,MARYLAND,Maryland Terrapins,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
57,Memphis,Memphis,Memphis Tigers,Memphis,MEMPHIS,Memphis Tigers,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis
58,Miami,"Miami, Florida",Miami Hurricanes,Miami,MIAMI,Miami Hurricanes,Miami (Florida),Miami FL,Miami (Fla.),Miami,Miami (FL),Miami (FL),Miami FL
59,Miami (OH),"Miami, Ohio",Miami,Miami (OH),MIAMI OHIO,Miami (OH) RedHawks,Miami (Ohio),Miami OH,Miami (Ohio),Miami-OH,Miami (OH),Miami (OH),Miami OH
60,Michigan,Michigan,Michigan Wolverines,Michigan,MICHIGAN,Michigan Wolverines,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan
61,Michigan State,Michigan St.,Michigan State Spartans,Michigan State,MICHIGAN ST,Michigan State Spartans,Michigan State,Michigan St,Michigan St.,Michigan St.,Michigan State,Michigan St,Michigan St
62,Middle Tennessee,Middle Tennessee,MTSU Blue Raiders,Middle Tennessee,MIDDLE TENN ST,Middle Tennessee Blue Raiders,Middle Tennessee State,Middle Tennessee St,Middle Tennessee,MTSU,Middle Tennessee,Middle Tenn,Middle Tennessee St
63,Minnesota,Minnesota,Minnesota Golden Gophers,Minnesota,MINNESOTA,Minnesota Golden Gophers,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
64,Mississippi State,Mississippi St.,Mississippi State Bulldogs,Mississippi State,MISSISSIPPI ST,Mississippi State Bulldogs,Mississippi State,Mississippi St,Mississippi St.,Miss. St.,Mississippi State,Miss State,Mississippi St
65,Missouri,Missouri,Missouri Tigers,Missouri,MISSOURI,Missouri Tigers,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri
66,Navy,Navy,Navy Midshipmen,Navy,NAVY,Navy Midshipmen,Navy,Navy,Navy,Navy,Navy,Navy,Navy
67,NC State,North Carolina St.,NC State Wolfpack,NC State,NC STATE,NC State Wolfpack,North Carolina State,North Carolina St,NC State,NC St.,North Carolina State,NC State,North Carolina St
68,Nebraska,Nebraska,Nebraska Cornhuskers,Nebraska,NEBRASKA,Nebraska Cornhuskers,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
69,Nevada,Nevada,Nevada Wolf Pack,Nevada,NEVADA,Nevada Wolf Pack,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada
70,New Mexico,New Mexico,New Mexico Lobos,New Mexico,NEW MEXICO,New Mexico Lobos,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
71,New Mexico State,New Mexico St.,New Mexico State Aggies,New Mexico State,NEW MEXICO ST,New Mexico State Aggies,New Mexico State,New Mexico St,New Mexico St.,NMSU,New Mexico State,N Mex State,New Mexico St
72,North Carolina,North Carolina,North Carolina Tar Heels,North Carolina,N CAROLINA,North Carolina Tar Heels,North Carolina,North Carolina,North Carolina,N. Carolina,North Carolina,N Carolina,North Carolina
73,North Texas,North Texas,North Texas Mean Green,North Texas,NORTH TEXAS,North Texas Mean Green,North Texas,North Texas,North Texas,N. Texas,North Texas,North Texas,North Texas
74,Northern Illinois,Northern Illinois,Northern Illinois Huskies,Northern Illinois,N ILLINOIS,Northern Illinois Huskies,Northern Illinois,Northern Illinois,Northern Illinois,NIU,Northern Illinois,N Illinois,Northern Illinois
75,Northwestern,Northwestern,Northwestern Wildcats,Northwestern,NORTHWESTERN,Northwestern Wildcats,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern
76,Notre Dame,Notre Dame,Notre Dame Fighting Irish,Notre Dame,NOTRE DAME,Notre Dame Fighting Irish,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame
77,Ohio,Ohio,Ohio Bobcats,Ohio,OHIO U,Ohio Bobcats,Ohio,Ohio U.,Ohio,Ohio,Ohio,Ohio,Ohio
78,Ohio State,Ohio St.,Ohio State Buckeyes,Ohio State,OHIO ST,Ohio State Buckeyes,Ohio State,Ohio St,Ohio St.,Ohio St.,Ohio State,Ohio State,Ohio State
79,Oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma,OKLAHOMA,Oklahoma Sooners,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
80,Oklahoma State,Oklahoma St.,Oklahoma State Cowboys,Oklahoma State,OKLAHOMA ST,Oklahoma State Cowboys,Oklahoma State,Oklahoma St,Oklahoma St.,Oklahoma St.,Oklahoma State,Oklahoma St,Oklahoma St
81,Old Dominion,Old Dominion,Old Dominion Monarchs,Old Dominion,OLD DOMINION,Old Dominion Monarchs,Old Dominion,Old Dominion,Old Dominion,ODU,Old Dominion,Old Dominion,Old Dominion
82,Ole Miss,Mississippi,Ole Miss Rebels,Ole Miss,OLE MISS,Ole Miss Rebels,Mississippi,Mississippi,Ole Miss,Ole Miss,Mississippi,Mississippi,Mississippi
83,Oregon,Oregon,Oregon Ducks,Oregon,OREGON,Oregon Ducks,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
84,Oregon State,Oregon St.,Oregon State Beavers,Oregon State,OREGON ST,Oregon State Beavers,Oregon State,Oregon St,Oregon St.,Oregon St.,Oregon State,Oregon St,Oregon St
85,Penn State,Penn State,Penn State Nittany Lions,Penn State,PENN ST,Penn State Nittany Lions,Penn State,Penn St,Penn St.,Penn St.,Penn State,Penn State,Penn State
86,Pittsburgh,Pittsburgh,Pittsburgh Panthers,Pittsburgh,PITTSBURGH,Pittsburgh Panthers,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
87,Purdue,Purdue,Purdue Boilermakers,Purdue,PURDUE,Purdue Boilermakers,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue
88,Rice,Rice,Rice Owls,Rice,RICE,Rice Owls,Rice,Rice,Rice,Rice,Rice,Rice,Rice
89,Rutgers,Rutgers,Rutgers Scarlet Knights,Rutgers,RUTGERS,Rutgers Scarlet Knights,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers
90,San Diego State,San Diego St.,San Diego State Aztecs,San Diego State,SAN DIEGO ST,San Diego State Aztecs,San Diego State,San Diego St,San Diego St.,San Diego St.,San Diego State,San Diego St,San Diego St
91,San Jose State,San Jose St.,San Jose State Spartans,San Jose State,SAN JOSE ST,San José State Spartans,San Jose State,San Jose St,San Jose St.,San Jose St.,San Jose State,San Jose St,San Jose St
92,SMU,Southern Methodist,SMU Mustangs,SMU,SMU,SMU Mustangs,Southern Methodist,Southern Methodist,SMU,SMU,SMU,S Methodist,SMU
93,South Alabama,South Alabama,South Alabama Jaguars,South Alabama,S ALABAMA,South Alabama Jaguars,South Alabama,South Alabama,South Alabama,S. Alabama,South Alabama,S Alabama,South Alabama
94,South Carolina,South Carolina,South Carolina Gamecocks,South Carolina,S CAROLINA,South Carolina Gamecocks,South Carolina,South Carolina,South Carolina,S. Carolina,South Carolina,S Carolina,South Carolina
95,South Florida,South Florida,South Florida Bulls,South Florida,S FLORIDA,South Florida Bulls,South Florida,South Florida,USF,USF,South Florida,S Florida,South Florida
96,Southern Mississippi,Southern Mississippi,Southern Miss Golden Eagles,Southern Mississippi,SOUTHERN MISS,Southern Miss Golden Eagles,Southern Mississippi,Southern Mississippi,Southern Miss.,So. Miss,Southern Miss,S Mississippi,Southern Miss
97,Stanford,Stanford,Stanford Cardinal,Stanford,STANFORD,Stanford Cardinal,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford
98,Syracuse,Syracuse,Syracuse Orange,Syracuse,SYRACUSE,Syracuse Orange,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse
99,TCU,Texas Christian,TCU Horned Frogs,TCU,TCU,TCU Horned Frogs,Texas Christian,Texas Christian,T C U,TCU,TCU,TX Christian,TCU
100,Temple,Temple,Temple Owls,Temple,TEMPLE,Temple Owls,Temple,Temple,Temple,Temple,Temple,Temple,Temple
101,Tennessee,Tennessee,Tennessee Volunteers,Tennessee,TENNESSEE,Tennessee Volunteers,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
102,Texas,Texas,Texas Longhorns,Texas,TEXAS,Texas Longhorns,Texas,Texas,Texas,Texas,Texas,Texas,Texas
103,Texas A&M,Texas A&M,Texas A&M Aggies,Texas A&M,TEXAS A&M,Texas A&M Aggies,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M
104,Texas State,Texas St.,Texas State Bobcats,Texas State,TEXAS ST,Texas State Bobcats,Texas State,Texas St,Texas St.,Texas St.,Texas State,Texas State,Texas St-San Marcos
105,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech,TEXAS TECH,Texas Tech Red Raiders,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech
106,Toledo,Toledo,Toledo Rockets,Toledo,TOLEDO,Toledo Rockets,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo
107,Troy,Troy,Troy Trojans,Troy,TROY,Troy Trojans,Troy,Troy,Troy,Troy,Troy,Troy,Troy
108,Tulane,Tulane,Tulane Green Wave,Tulane,TULANE,Tulane Green Wave,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane
109,Tulsa,Tulsa,Tulsa Golden Hurricane,Tulsa,TULSA,Tulsa Golden Hurricane,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa
110,UAB,AL-Birmingham,UAB Blazers,UAB,UAB,UAB Blazers,Alabama-Birmingham,UAB,U A B,UAB,UAB,UAB,Alabama-Birmingham
111,UCF,Central Florida,UCF Knights,UCF,UCF,UCF Knights,Central Florida,UCF,UCF,UCF,UCF,Central FL,Central Florida
112,UCLA,UCLA,UCLA Bruins,UCLA,UCLA,UCLA Bruins,UCLA,UCLA,U C L A,UCLA,UCLA,UCLA,UCLA
113,UMass,Massachusetts,Massachusetts Minutemen,Massachusetts,MASSACHUSETTS,UMass Minutemen,Massachusetts,Massachusetts,UMass,UMass,Massachusetts,U Mass,Massachusetts
114,UNLV,Nevada-Las Vegas,UNLV Rebels,UNLV,UNLV,UNLV Rebels,Nevada-Las Vegas,UNLV,U N L V,UNLV,UNLV,UNLV,UNLV
115,USC,Southern California,USC Trojans,USC,USC,USC Trojans,Southern California,Southern California,U S C,USC,USC,USC,Southern Cal
116,UT San Antonio,Texas-San Antonio,UTSA Roadrunners,UTSA,UTSA,UTSA Roadrunners,Texas-San Antonio,UTSA,U T S A,UTSA,UTSA,TX-San Ant,Texas-San Antonio
117,Utah,Utah,Utah Utes,Utah,UTAH,Utah Utes,Utah,Utah,Utah,Utah,Utah,Utah,Utah
118,Utah State,Utah St.,Utah State Aggies,Utah State,UTAH ST,Utah State Aggies,Utah State,Utah St,Utah St.,Utah St.,Utah State,Utah State,Utah St
119,UTEP,Texas-El Paso,UTEP Miners,UTEP,UTEP,UTEP Miners,Texas-El Paso,UTEP,U T E P,UTEP,UTEP,TX El Paso,UTEP
120,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt,VANDERBILT,Vanderbilt Commodores,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
121,Virginia,Virginia,Virginia Cavaliers,Virginia,VIRGINIA,Virginia Cavaliers,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
122,Virginia Tech,Virginia Tech,Virginia Tech Hokies,Virginia Tech,VIRGINIA TECH,Virginia Tech Hokies,Virginia Tech,Virginia Tech,Virginia Tech,Va. Tech,Virginia Tech,VA Tech,Virginia Tech
123,Wake Forest,Wake Forest,Wake Forest Demon Deacons,Wake Forest,WAKE FOREST,Wake Forest Demon Deacons,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest
124,Washington,Washington,Washington Huskies,Washington,WASHINGTON,Washington Huskies,Washington,Washington,Washington,Washington,Washington,Washington,Washington
125,Washington State,Washington St.,Washington State Cougars,Washington State,WASHINGTON ST,Washington State Cougars,Washington State,Washington St,Washington St.,Wash. St.,Washington State,Wash State,Washington St
126,West Virginia,West Virginia,West Virginia Mountaineers,West Virginia,W VIRGINIA,West Virginia Mountaineers,West Virginia,West Virginia,West Virginia,W. Virginia,West Virginia,W Virginia,West Virginia
127,Western Kentucky,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky,W KENTUCKY,Western Kentucky Hilltoppers,Western Kentucky,Western Kentucky,Western Kentucky,WKU,Western Kentucky,W Kentucky,Western Kentucky
128,Western Michigan,Western Michigan,Western Michigan Broncos,Western Michigan,W MICHIGAN,Western Michigan Broncos,Western Michigan,Western Michigan,Western Michigan,WMU,Western Michigan,W Michigan,Western Michigan
129,Wisconsin,Wisconsin,Wisconsin Badgers,Wisconsin,WISCONSIN,Wisconsin Badgers,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
130,Wyoming,Wyoming,Wyoming Cowboys,Wyoming,WYOMING,Wyoming Cowboys,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming